	abv	attenuation_level	boil_volume	brewers_tips	contributed_by	description	ebc	first_brewed	food_pairing	ibu	id	image_url	ingredients	method	name	ph	srm	tagline	target_fg	target_og	volume
6	4.5	75.6	{'value': 25, 'unit': 'litres'}	Columbus and Ahtanum hop additions create a perfect blend of resin and lemon character.	Sam Mason <samjbmason>	A hoppy Rye Ale loaded with an avalanche of citrus and resinous flavours. Columbus, our high-alpha friend, lends a huge pithy citrus blast, with Ahtanum providing a punchy tropical fruit back-up. Brewing with rye adds a spiciness to the speciality malt caramel backbone, giving a warm ginger snap flavour, before slowly the hops, barley and rye combine and build to an orangey, biscuity, almost chocolatey crescendo.	25.0	03/2014	['Spicy lamb tikka masala', 'Spicy beef and Mexican black bean burger', 'Poached cinnamon apple muffins']	30.0	87	https://images.punkapi.com/v2/87.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.69, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.16, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.31, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus', 'amount': {'value': 7.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 125, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Columbus', 'amount': {'value': 125, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Alpha Pop	4.4	12.5	Hoppy Rye Pale Ale.	1011.0	1045.0	{'value': 20, 'unit': 'litres'}
7	6.3	80.0	{'value': 25, 'unit': 'litres'}	Play around with the fermentation temperature to get the best flavour profile from the individual yeasts.	Ali Skinner <AliSkinner>	Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast. We brewed up a wort with a light caramel note and some toasty biscuit flavour, and hopped it with Amarillo and Centennial for a citrusy bitterness. Everything else is down to the yeast. Bavarian Weizen yeast adds traditional weissbier notes of banana and clove.	30.0	09/2013	['Spicy paella', 'German bratwurst with spicy mustard dip and vinaigrette salad', 'Creamy eggs benedict']	55.0	88	https://images.punkapi.com/v2/88.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.58, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Centennial', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'WLP351 - Bavarian Weizen'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 22, 'unit': 'celsius'}}, 'twist': None}	Bavarian Weizen	4.4	15.0	Unleash the Yeast Series.	1012.0	1060.0	{'value': 20, 'unit': 'litres'}
8	7.5	82.1	{'value': 25, 'unit': 'litres'}	Another hop to be treated with respect. Too much in the kettle or dry hop will turn the beer into a garlicky disaster.	Sam Mason <samjbmason>	The Pacific North West of America is home to the Citra hop. America is not just about cheer leaders, a silly version of football, elastic top jeans and cheeseburgers. They grow remarkable hops and Citra is a killer example of this, embodying all that is good about American hops and then some. Fearfully hard to resist, this beer is loaded with brash citrus, grapefruit, orange, hints of resinous pine and touches of blackcurrant. Devilishly moreish.	30.0	01/2011	['Lemon and herb salmon', 'Sharp cheddar with mango chutney', 'Shredded chicken tacos with pico de gallo']	70.0	89	https://images.punkapi.com/v2/89.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.38, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Citra', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Citra', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Citra	4.4	15.0	Single Hop IPA Series â€“ 2011.	1013.0	1068.0	{'value': 20, 'unit': 'litres'}
9	10.0	79.6	{'value': 25, 'unit': 'litres'}	Steep the oak chips and vanilla in separate bags in the cold conditioning phase. Taste every 2 - 3 days and as soon as profile is desirable they can be removed easily.	Sam Mason <samjbmason>	Democratically voted on by you and the BrewDog beer community. A wonderfully burnt toast malt backbone, loaded with American Hops for floral, citrus flavours and warm boozy vanilla and toasted oak.	130.0	05/2015	['Charcuterie platter (featuring Italian salami)', 'Blue cheese wedge salad', 'Rich dark chocolate volcano cake']	85.0	90	https://images.punkapi.com/v2/90.png	{'malt': [{'name': 'Pale Ale', 'amount': {'value': 6.35, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.77, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.96, 'unit': 'kilograms'}}, {'name': 'Special W', 'amount': {'value': 0.29, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Nugget', 'amount': {'value': 19, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus', 'amount': {'value': 38.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 19, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 19, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 19, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 19, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Willamette', 'amount': {'value': 19, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 38.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Simcoe', 'amount': {'value': 38.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Willamette', 'amount': {'value': 38.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Oak Chips: 38.5g at FV, Vanilla Pods at FV'}	#Mashtag 2015	4.4	65.0	US Hopped Black Barley Wine.	1020.0	1098.0	{'value': 20, 'unit': 'litres'}
10	3.8	70.0	{'value': 25, 'unit': 'litres'}	It may be tempting to throw extra (extra) hops at Dead Pony Club, but try adding a little at a time to consecutive brews rather than cramming in loads extra on your first time.	Sam Mason <samjbmason>	Our California style West Coast IPA has light toffee and caramel notes layered on biscuit malt, supporting a huge, fresh citrus aroma, with lemongrass, lime zest, grapefruit peel, alongside some tropical notes, courtesy of some heavy-hitting US hops.	25.0	03/2012	['Baja style fish tacos', 'Jerk chicken', 'Apple crumble']	35.0	91	https://images.punkapi.com/v2/91.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 2.79, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Simcoe', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Citra', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Mosaic', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 62, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Dead Pony Club	4.4	12.7	West Coast Kicks. Citrusy. Zesty. Bright.	1012.0	1040.0	{'value': 20, 'unit': 'litres'}
11	11.6	80.0	{'value': 25, 'unit': 'litres'}	Lactose - or milk sugar - is un-fermentable. It adds a creamy mouthfeel to the beer. Experiment by using different types of honey for altered flavour profiles.	Sam Mason <samjbmason>	This Cranachan Imperial Stout was inspired by the famous Scottish dessert, and brewed with a mountain of dark malts, loads of oats, Scottish heather honey and local raspberries. The beer was then transferred to oak casks to mature for 6 months.	265.0	11/2010	['Aged cheddar with honey and raspberry chutney', 'Rich beef stew with winter vegetables and a dash of honey', 'Scottish raspberry cranachan parfait']	77.0	92	https://images.punkapi.com/v2/92.png	{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 10, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.9400000000000001, 'unit': 'kilograms'}}, {'name': 'Dark Crystal 350-400', 'amount': {'value': 0.9400000000000001, 'unit': 'kilograms'}}], 'hops': [{'name': 'Fuggles', 'amount': {'value': 125, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Fuggles', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Champagne'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Lactose: 125g, Scottish Heather Honey: 125g, Raspberries: 187.5g'}	AB:09	5.2	132.5	Cranachan Imperial Stout.	1022.0	1110.0	{'value': 20, 'unit': 'litres'}
12	6.4	87.0	{'value': 25, 'unit': 'litres'}	Try to use the juiciest, ripest mangoes possible.	Sam Mason <samjbmason>	Kettle soured hoppy mango gose. A delicate balance of sweet, juicy mango, sour lime and salinity.	10.0	07/2015	['Okra fries', 'Sea bass ceviche', 'Sea salt fudge']	40.0	93	https://images.punkapi.com/v2/keg.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.25, 'unit': 'kilograms'}}, {'name': 'Wheat Malt', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Sorachi Ace', 'amount': {'value': 7.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 7.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Sorachi Ace', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 60, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 30}, {'temp': {'value': 72, 'unit': 'celsius'}, 'duration': 10}, {'temp': {'value': 78, 'unit': 'celsius'}, 'duration': 5}], 'fermentation': {'temp': {'value': 20, 'unit': 'celsius'}}, 'twist': 'Kettle Soured, 5 Mangoes pureed at FV'}	Mango Gose - B-Sides	3.5	5.0	Hoppy Mango Gose.	1000.0	1057.0	{'value': 20, 'unit': 'litres'}
13	10.5	93.8	{'value': 25, 'unit': 'litres'}	The honey addition will help to dry out the beer, as the saison yeast will continue to ferment long after most ale yeast.	Sam Mason <samjbmason>	This French white wine barrel aged Imperial Saison has a plethora of intertwining flavours. Huge aromas of peach, syrup, tangerine, sherry, toffee and raisin, followed by a dynamic bracing acidity.	15.0	06/2013	['Spiced carrot and coriander soup', 'Spicy chilli king prawns', 'Orange zest tart']	45.0	94	https://images.punkapi.com/v2/94.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.13, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Motueka', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Bobek', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Bobek', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3711 - French Saisonâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 23, 'unit': 'celsius'}}, 'twist': 'Coriander seeds: 12.5g at End (WP), Orange: 25g at End (WP), Lemon: 25g at End (WP), Honey: 125g at End (WP), Pink Peppercorns: 3.5g at End (WP)'}	Everday Anarchy	4.4	7.5	White Wine Barrel-Aged Imperial Red Saison.	1005.0	1081.0	{'value': 20, 'unit': 'litres'}
14	4.0	76.9	{'value': 25, 'unit': 'litres'}	During the mashing process, try to mix the malt without 'turning' or splashing too much. This will cause more oxygen to be dissolved in the mash - and result in a beer that will taste a little like a cardboard box.	Sam Mason <samjbmason>	A trashy blonde concession for those who felt that our original 6% Punk IPA recipe was too hard hitting. This was also the first time we experimented with dry hopping our beers, giving Peroxide Punk a depth of flavour that belies its modest ABV. Zesty, aromatic and thirst quenching.	18.0	04/2007	['Sashimi', 'Pan roasted poussin with spring veg', 'Lemon and thyme panna cotta']	40.0	95	https://images.punkapi.com/v2/keg.png	{'malt': [{'name': 'Maris Otter', 'amount': {'value': 3.85, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Crystal', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Liberty', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Amarillo', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}	Peroxide Punk	4.4	9.0	Zesty Pale Ale.	1009.0	1039.0	{'value': 20, 'unit': 'litres'}
15	15.2	82.0	{'value': 25, 'unit': 'litres'}	Adding extra smoked malt will amp up the bacon character.	Ali Skinner <AliSkinner>	Lumberjack Stout is an intense beast that took its inspriation from what an actual bona-fide lumberjack might have for breakfast. Flavours of molasses, chocolate, smoke, berry, coffee and more, with a low bitterness, leaning this beer firmly towards the malty side.	158.0	12/2013	['Maple syrup drizzled chocolate chip pancakes', 'Fried bacon with crispy honeycomb bits', 'Coffee cake']	20.0	96	https://images.punkapi.com/v2/keg.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 10.63, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 2.19, 'unit': 'kilograms'}}, {'name': 'Smoked Malt', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 1.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Galena', 'amount': {'value': 36, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 105}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Blueberries, maple syrup and coffee, then aged in ex Grain whisky casks. Maple Syrup: 50g at end. Blueberries: 100g at middle.'}	Lumberjack Stout	4.4	79.0	Blueberry Bacon Stout.	1020.0	1110.0	{'value': 20, 'unit': 'litres'}
16	18.3	84.0	{'value': 25, 'unit': 'litres'}	Ferment first with the American ale strain and after a week add the American Ale II to really push up the ABV. Use a starter to get the yeast raring and ready to go before the second addition.	Sam Mason <samjbmason>	Ice-distilled double barley wine brewed by Chris from Stone Brewing Co. (see Sunmaid Stout) and BrewDog's own brewers. As robust, resinous and badass as its eponymic beard.	15.0	03/2015	['Celery and stilton soup', 'Salted caramel souffleÌ�']	50.0	97	https://images.punkapi.com/v2/keg.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.5, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'CaraAroma', 'amount': {'value': 0.04, 'unit': 'kilograms'}}, {'name': 'Caramunich', 'amount': {'value': 0.1, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.07, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.11, 'unit': 'kilograms'}}], 'hops': [{'name': 'Motueka', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Motueka', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Galena', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Aleâ„¢ & Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Ice-distilled after fermentation to get to 18.3%'}	Bowman's Beard - B-Sides	5.3	8.0	English Barley Wine.	1011.0	1067.0	{'value': 20, 'unit': 'litres'}
17	5.4	74.6	{'value': 25, 'unit': 'litres'}	Experiment with the spice addition to find the correct balance to suit your taste. FYI star anise is a very strong flavour.	Sam Mason <samjbmason>	We're turning Halloweâ€™en inside out and upside down. Pumpkin King is not your usual unctuous, cloyingly sweet Halloweâ€™en pumpkin ale. Sure, thereâ€™s a huge heady hit of pungent spice on the nose, but itâ€™s followed with bright and zesty citrus flavours, and a light mouthfeel. Spicy and sweet autumnal favourites like toasted marshmallow and toffee apple are just some of the complex notes youâ€™ll find in our twisted take on a pumpkin ale, which weighs in at 5.4% ABV.	30.0	08/2015	['Creamy maple syrup and bacon soup', 'Chunky chicken and vegetable spiced stew', 'Pumpkin pie']	20.0	98	https://images.punkapi.com/v2/98.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 3.88, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.38, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'First Gold', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Pumkin puree: 375g, Grains of Paradise: 2.5g at end, Star Anise: 1.5g at end, Cinnamon: 2.5g at end, Nutmeg: 2.5g at end, Allspice: 2.5g at end, Ginger: 2.5g at end, Clove: 2.5g at end'}	Pumpkin King	4.4	15.0	Spicy Citrus Pumpkin Ale.	1014.0	1055.0	{'value': 20, 'unit': 'litres'}
18	8.3	82.9	{'value': 25, 'unit': 'litres'}	Sea buckthorn characteristics can vary from its country or origin. Taste the berries before addition to determine the best usage.	Sam Mason <samjbmason>	Brewed with sea buckthorn, a tart and bitter berry found on the Finnish coastline. Bright, vibrant aromas of tangerine, mandarin and peach, with zesty hits of lime, envelop the nutty, caramel malt backbone. The intense fruitiness gives a jammy quality to the nose. On the palate is a warm biscuity sweetness, with tropical fruits in a supporting role to a huge grapefruit and orange bitterness.	30.0	05/2014	['Korvapuusti (cinnamon and cardamom buns)', 'Spicy orange chicken marmalade served with potato bread', 'Sea buckthorn cheesecake']	70.0	99	https://images.punkapi.com/v2/99.png	{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.13, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.88, 'unit': 'kilograms'}}], 'hops': [{'name': 'Challenger', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Bravo', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Comet', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'EXP 366', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Comet', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Centennial', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Simcoe', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale IIâ„¢'}	{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Sea Buckthorn Puree: 375g at end, EXP 366: 37.5g at dry hop'}	Hello My Name Is PaÌˆivi	4.4	15.0	Sea Buckthorn Double IPA.	1013.0	1076.0	{'value': 20, 'unit': 'litres'}
